"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The feasibility analysis of re-ranking for N-best lists on English-Turkish machine translation","E. Yıldırım; A. C. Tantuğ","Department of Computer Engineering, Istanbul Technical University, Istanbul, Turkey; Department of Computer Engineering, Istanbul Technical University, Istanbul, Turkey","2013 IEEE INISTA","15 Aug 2013","2013","","","1","5","In this paper, we present the results of re-ranking for N-best list on machine translations. The main purpose of this research is to determine the upper bound of MT success that can be gained by reordering possible candidate translations. We use Google Translate Research API1 as our Statistical Machine Translation (SMT) system to get the N-best lists consisting of possible Turkish translations for a given English sentence. We evaluate the effect of reordering using three simple methods: unigram count (UC), unigram ratio (UR), and first four characters match (FFCM). We collected 720 sentences in order to give to the SMT system, and then we used 3 different sets of Turkish translations of them to evaluate our work on the N-best lists. Success of re-ranking is determined by using BLEU metric, besides an inclusive investigation which is necessary especially for agglutinative languages (e.g. Turkish, Czech, Hungarian, and Finnish) is performed by using BLEU+ MT scoring tool. We observe an improvement in BLEU score from 31.71 for the baseline system to 35.46 which is about 11.81% relative for the re-ranked model using UR.","","978-1-4799-0661-1","10.1109/INISTA.2013.6577652","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6577652","re-ranking;n-best list;machine translation;BLEU+","Measurement;Algorithm design and analysis;Computers;Speech recognition;Educational institutions;Google;Computational modeling","information retrieval;language translation;natural language processing;statistical analysis","English-Turkish machine translation;reranking feasibility analysis;N-best list;candidate translation reordering;Google Translate Research;API;statistical machine translation;unigram count;unigram ratio;first four characters match;FFCM;SMT system;BLEU metric;agglutinative language;BLEU+ MT scoring tool;baseline system","","","","7","IEEE","15 Aug 2013","","","IEEE","IEEE Conferences"
"Studying the Role of Data Quality on Statistical and Neural Machine Translation","K. K. Arora; G. S. Tomar; S. S. Agrawal","Speech and Natural Language Processing, Centre for Development of Advanced Computing, Noida, India; Rajkiya Engineering College, Sonbhadra, UP, India; KIIT Group of Institutions, Gurugram","2021 10th IEEE International Conference on Communication Systems and Network Technologies (CSNT)","12 Aug 2021","2021","","","199","204","Statistical and Neural Machine translation techniques are based on the parallel data used for training models. The general belief is that more training data would result in better models. We studied the available corpora and ambient noises present in them. It revealed that the available data is highly noisy. The paper describes various types of noises present in there and how these are identified. Different types of noise filters are developed and normalization processes have been applied on the corpora. Statistical and neural machine translation models are trained to study the impact of cleaning of noisy data. We performed experiments with noisy data and with cleaned data after discarding noisy data from the training corpus. Standard test set WMT-14 has been used for performing evaluation. The quality of machine translation has been measured through BLEU scores. It was observed that even after discarding a significant volume of noisy data, the models without noisy data performed better than the corpus containing noises. It proves that quality of data has significant impact and mere having huge piles of uncleaned data in not a good choice. The test case presented here is for English-Hindi language pair. It also shows a path that for low resource language pairs, paying attention to the quality of data would bring returns in form of better translation performance. As the noises discussed in paper are general in nature, the findings should be true for any other Indian language pair also, due to inherent similarity among Indian languages.","2329-7182","978-1-6654-2306-9","10.1109/CSNT51715.2021.9509604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509604","component;Statistical Machine Translation;Neural Machine Translation;Corpus quality","Training;Solid modeling;Communication systems;Data integrity;Conferences;Training data;Data models","language translation;natural language processing","low resource language pairs;English-Hindi language pair;BLEU scores;standard test set WMT-14;uncleaned data;cleaned data;noisy data;training data;parallel data;neural machine translation techniques;data quality","","","","20","IEEE","12 Aug 2021","","","IEEE","IEEE Conferences"
"Intelligent Recognition English Translation Model Based on ID3 Algorithm","L. Pan","Shandong Transport Vocational College, Weifang, China","2022 IEEE 2nd International Conference on Mobile Networks and Wireless Communications (ICMNWC)","7 Feb 2023","2022","","","1","5","Today's science and technology are developing faster and faster, and the number of scientific and technical documents is also increasing. Although manual translation can express the original text well, with the increasing number of documents, the speed of manual translation seems to be stretched. Machine translation is an important means to solve this problem. Therefore, this paper studies translation models to improve translation speed and hope to achieve accurate translation. In this paper, an intelligent recognition English translation system is designed for English translation. The system needs to obtain English corpus through data clarity, data processing, etc., and through the ID3 algorithm of decision tree and decision tree tool to process English vocabulary, a pure corpus can be obtained, and It can restore and mark the parts of speech in English sentences to achieve more accurate translation results. After optimizing the data of the English translation model constructed in this paper, the model can store more data and save system disk space.","","978-1-6654-9111-2","10.1109/ICMNWC56175.2022.10031764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10031764","ID3 algorithm;intelligent identification;English translation;data optimization","Wireless communication;Vocabulary;Manuals;Data processing;Data models;Decision trees;Machine translation","decision trees;iterative methods;language translation;natural language processing;storage management;text analysis","data storage;decision tree tool;English corpus;English sentences;English vocabulary;ID3 algorithm;intelligent recognition English translation model;machine translation;parts of speech;scientific document;technical document","","","","11","IEEE","7 Feb 2023","","","IEEE","IEEE Conferences"
"Cache based recurrent neural network language model inference for first pass speech recognition","Z. Huang; G. Zweig; B. Dumoulin","Speech at Microsoft, Sunnyvale, CA; Microsoft Research, Redmond, WA; Speech at Microsoft, Sunnyvale, CA","2014 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","14 Jul 2014","2014","","","6354","6358","Recurrent neural network language models (RNNLMs) have recently produced improvements on language processing tasks ranging from machine translation to word tagging and speech recognition. To date, however, the computational expense of RNNLMs has hampered their application to first pass decoding. In this paper, we show that by restricting the RNNLM calls to those words that receive a reasonable score according to a n-gram model, and by deploying a set of caches, we can reduce the cost of using an RNNLM in the first pass to that of using an additional n-gram model. We compare this scheme to lattice rescoring, and find that they produce comparable results for a Bing Voice search task. The best performance results from rescoring a lattice that is itself created with a RNNLM in the first pass.","2379-190X","978-1-4799-2893-4","10.1109/ICASSP.2014.6854827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6854827","recurrent neural network language model;cache;computational efficiency;voice search","Computational modeling;Decoding;History;Recurrent neural networks;Data models;Hidden Markov models;Speech recognition","language translation;recurrent neural nets;search problems;speech recognition","cache based recurrent neural network language model inference;first pass speech recognition;machine translation;word tagging;computational expense;language processing tasks;RNNLM calls;n-gram model;lattice rescoring;Bing Voice search task","","17","1","16","IEEE","14 Jul 2014","","","IEEE","IEEE Conferences"
"Extending BLEU Evaluation Method with Linguistic Weight","M. Yang; J. Zhu; J. Li; L. Wang; H. Qi; S. Li; L. Daxin","MOE-MS Joint Key Lab of NLP &Speech, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; MOE-MS Joint Key Lab of NLP &Speech, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; MOE-MS Joint Key Lab of NLP &Speech, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Foreign Languages, Harbin Institute of Technology, Harbin, China; Department of Computer, Heilongjiang Institute of Technology, Harbin, China; MOE-MS Joint Key Lab of NLP &Speech, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Engineering of Technology, Harbin, China","2008 The 9th International Conference for Young Computer Scientists","12 Dec 2008","2008","","","1683","1688","BLEU is one of the most popular metrics for automatic evaluation of machine translation quality. Focusing on its ignorance of different effects of various translation units upon translation quality, this paper extends proper weights to different words and n-grams in the framework of BLEU. The linear regression method is adopted to capture the human perception on translation quality via word types and n-gram length. Compared with other linguistic-rich metrics based on machine learning, the proposed approach is simple and largely preserves BLEUpsilas advantage of language independence. Experimental results indicate that this method brings a much better evaluation performance for both human translation and machine translation than original BLEU.","","978-0-7695-3398-8","10.1109/ICYCS.2008.362","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4709226","Machine translation evaluation;BLEU;Linear regression;linguistic weight.","Humans;Linear regression;Machine learning;Computer science;Support vector machines;Support vector machine classification;Speech analysis;Natural languages;Automatic testing;Performance evaluation","language translation;linguistics;regression analysis","BLEU evaluation method;linguistic weight;machine translation quality;linear regression method;machine learning","","4","","10","IEEE","12 Dec 2008","","","IEEE","IEEE Conferences"
"Language Identification From Speech Features Using SVM and LDA","J. S. Anjana; S. S. Poorna","Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham, Amritapuri, India","2018 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)","18 Nov 2018","2018","","","1","4","Speech based language identification system has a wide range of applications in the field of telephone services, multilingual translation services, government intelligence and monitoring etc. Identifying the exact speech feature for classification is an important problem in the language identification research area. In this work, we are comparing the performance measures of a language identification system using two different supervised learning algorithms. Mel frequency cepstral coefficients and formant feature vectors are extracted for classification purpose. The system which is developed using the database of seven different Indian languages is capable of identifying languages with LDA giving a maximum classification accuracy of 93.88% when compared to SVM with a classification accuracy of 84%.","","978-1-5386-3624-4","10.1109/WiSPNET.2018.8538638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8538638","Speech;Language Identification;Feature Extraction;MFCC;Formants;SVM;LDA","Mel frequency cepstral coefficient;Support vector machines;Feature extraction;Conferences;Speech processing;Resonant frequency","cepstral analysis;feature extraction;language translation;learning (artificial intelligence);natural language processing;pattern classification;speech processing;speech recognition;support vector machines;vectors","language identification research area;mel frequency cepstral coefficients;formant feature vectors;SVM;speech features;speech based language identification system;telephone services;multilingual translation services;government intelligence;supervised learning algorithms;LDA","","12","","15","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"The Karlsruhe-Verbmobil speech recognition engine","M. Finke; P. Geutner; H. Hild; T. Kemp; K. Ries; M. Westphal","Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA","1997 IEEE International Conference on Acoustics, Speech, and Signal Processing","6 Aug 2002","1997","1","","83","86 vol.1","Verbmobil, a German research project, aims at machine translation of spontaneous speech input. The ultimate goal is the development of a portable machine translator that will allow people to negotiate in their native language. Within this project the University of Karlsruhe has developed a speech recognition engine that has been evaluated on a yearly basis during the project and shows very promising speech recognition word accuracy results on large vocabulary spontaneous speech. We introduce the Janus Speech Recognition Toolkit underlying the speech recognizer. The main new contributions to the acoustic modeling part of our 1996 evaluation system-speaker normalization, channel normalization and polyphonic clustering-are discussed and evaluated. Besides the acoustic models we delineate the different language models used in our evaluation system: word trigram models interpolated with class based models and a separate spelling language model were applied. As a result of using the toolkit and integrating all these parts into the recognition engine the word error rate on the German spontaneous scheduling task (GSST) could be decreased from 30% word error rate in 1995 to 13.8% in 1996.","1520-6149","0-8186-7919-0","10.1109/ICASSP.1997.599552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=599552","","Speech recognition;Engines;Natural languages;Object oriented modeling;Interactive systems;Laboratories;Error analysis;Handwriting recognition;Hidden Markov models;Speech analysis","speech recognition;language translation;natural language interfaces;vocabulary;performance evaluation;computational linguistics;errors;scheduling;interpolation","Karlsruhe-Verbmobil speech recognition engine;German research project;machine translation;spontaneous speech input;University of Karlsruhe;word accuracy;large vocabulary spontaneous speech;Janus Speech Recognition Toolkit;acoustic modeling;speaker normalization;channel normalization;polyphonic clustering;language models;word trigram models;class based models;spelling language model;German spontaneous scheduling task;word error rate","","34","1","10","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Spoken Spanish generation from sign language","R. San-Segundo; J. M. Pardo; J. Ferreiros; V. Sama; R. Barra-Chicote; J. M. Lucas; D. Sánchez; A. García",NA; NA; NA; NA; NA; NA; NA; NA,"Interacting with Computers","18 Jan 2018","2010","22","2","123","139","This paper describes the development of a Spoken Spanish generator from sign-writing. The sign language considered was the Spanish sign language (LSE: Lengua de Signos Española). This system consists of an advanced visual interface (where a deaf person can specify a sequence of signs in sign-writing), a language translator (for generating the sequence of words in Spanish), and finally, a text to speech converter. The visual interface allows a sign sequence to be defined using several sign-writing alternatives. The paper details the process for designing the visual interface proposing solutions for HCI-specific challenges when working with the Deaf (i.e. important difficulties in writing Spanish or limited sign coverage for describing abstract or conceptual ideas). Three strategies were developed and combined for language translation to implement the final version of the language translator module. The summative evaluation, carried out with Deaf from Madrid and Toledo, includes objective measurements from the system and subjective information from questionnaires. The paper also describes the first Spanish-LSE parallel corpus for language processing research focused on specific domains. This corpus includes more than 4000 Spanish sentences translated into LSE. These sentences focused on two restricted domains: the renewal of the identity document and driver’s license. This corpus also contains all sign descriptions in several sign-writing specifications generated with a new version of the eSign Editor. This new version includes a grapheme to phoneme system for Spanish and a SEA-HamNoSys converter.","1873-7951","","10.1016/j.intcom.2009.11.011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8147058","Spanish sign language (LSE);Speech generation from LSE;LSE corpus;Sign editor;LSE translation;Driver’s license renewal","","","","","1","","","","18 Jan 2018","","","OUP","OUP Journals"
"ASR and Translation for Under-Resourced Languages","L. Besacier; V. . -B. Le; C. Boitet; V. Berment","UJF, CLIPS-IMAG Laboratory, Grenoble, France; UJF, CLIPS-IMAG Laboratory, Grenoble, France; UJF, CLIPS-IMAG Laboratory, Grenoble, France; UJF, CLIPS-IMAG Laboratory, Grenoble, France","2006 IEEE International Conference on Acoustics Speech and Signal Processing Proceedings","24 Jul 2006","2006","5","","V","V","There are more than 6000 languages in the world but only a small number possess the resources required for implementation of human language technologies (HLT). Thus, HLT are mostly concerned by languages for which large resources are available or which have suddenly become of interest because of the economic or political scene. On the contrary, languages from developing countries or minorities have been less worked on in the past years. One way of improving this ""language divide"" is do more research on portability of HLT for multilingual applications. In this paper, we concentrate on speech-to-speech translation. We present here our methodology for fast development of ASR systems for under-resourced languages or, as they are called now, pi-languages (poorly equipped). We present the resources collected for Vietnamese, and the experimental results of our first Vietnamese ASR system. The current validation of our methodology for Khmer is described next. We also discuss some issues related to machine translation and present first contributions of our laboratory in this context of ""pi-languages""","2379-190X","1-4244-0469-X","10.1109/ICASSP.2006.1661502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1661502","","Automatic speech recognition;Natural languages;Optical character recognition software;Text processing;Speech synthesis;Speech processing;Laboratories;Dictionaries;Visualization;Printing","language translation;natural languages;speech recognition","under-resourced languages;language translation;human language technologies;speech-to-speech translation;automatic speech recognition","","10","","11","IEEE","24 Jul 2006","","","IEEE","IEEE Conferences"
"Need for Hindi-Dogri machine translation system","P. Dubey","Department of computer science & IT, University of Jammu acceptable, Jammu, INDIA","2014 International Conference on Computing for Sustainable Global Development (INDIACom)","12 Jun 2014","2014","","","136","140","Machine translation (MT) is the translation of text or speech in one language called the source language into another language called the target language. Machine translation systems (MTS) are available for various Indian languages. The very first system for the translation of Hindi text to Dogri has been developed by the authors. This paper presents the methods of machine translation and the various machine translation systems developed in India based on these approaches. This paper then discusses need for the development of Hindi-Dogri MTS systems and the approach used for its development. The potential use of the system has also been discussed.","","978-93-80544-12-0","10.1109/IndiaCom.2014.6828116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6828116","lexicon;Machine translation;Morphological Analyzer","Educational institutions;Dictionaries;Information technology;Computer science;Accuracy;Artificial neural networks;Artificial intelligence","language translation;natural language processing;text analysis","Hindi-Dogri machine translation system;text translation;speech translation;source language;target language;Indian language;Hindi text;Dogri text;Hindi-Dogri MTS system","","2","","35","","12 Jun 2014","","","IEEE","IEEE Conferences"
"User-centered evaluation for machine translation of spoken language","D. D. Palmer","Virage Advanced Technology Group, Woburn, MA, USA","Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.","9 May 2005","2005","5","","v/1013","v/1016 Vol. 5","In this paper, we discuss a user-centered method for qualitative comparison of machine translation systems based on rankings of system output. System ranking requires no reference transcript, which can be expensive to generate and difficult to define for spoken language input. Ranking can be performed by monolingual users with no training in machine translation evaluation. We present results of experiments ranking four Arabic-to-English and three Mandarin-to-English machine translation systems processing spoken language transcripts with word error rates of 20-30%.","2379-190X","0-7803-8874-7","10.1109/ICASSP.2005.1416478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1416478","","Natural languages;Humans;Automatic speech recognition;Performance evaluation;Error analysis;Information filtering;Information filters;Data mining;Real time systems;Feeds","language translation;natural languages;error statistics","machine translation system output quality;machine translation user-centered evaluation;spoken language transcripts;word error rate;translation system ranking;Arabic-to-English translation;Mandarin-to-English translation","","3","","6","IEEE","9 May 2005","","","IEEE","IEEE Conferences"
"Speech to Text Translation enabling Multilingualism","S. Bano; P. Jithendra; G. L. Niharika; Y. Sikhi","Department Of CSE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Department Of CSE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Department Of CSE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India; Department Of CSE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, India","2020 IEEE International Conference for Innovation in Technology (INOCON)","1 Jan 2021","2020","","","1","4","Speech acts as a barrier to communication between two individuals and helps them in expressing their feelings, thoughts, emotions, and ideologies among each other. The process of establishing a communicational interaction between the machine and mankind is known as Natural Language processing. Speech recognition aids in translating the spoken language into text. We have come up with a Speech Recognition model that converts the speech data given by the user as an input into the text format in his desired language. This model is developed by adding Multilingual features to the existent Google Speech Recognition model based on some of the natural language processing principles. The goal of this research is to build a speech recognition model that even facilitates an illiterate person to easily communicate with the computer system in his regional language.","","978-1-7281-9744-9","10.1109/INOCON50539.2020.9298280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9298280","SpeechRecognition;Tkinter;Recognizer;Multilingual text;Natural Language","Speech recognition;Text recognition;Hidden Markov models;Speech processing;Computational modeling;Internet;Microphones","computational linguistics;language translation;natural language processing;speech recognition;text analysis","spoken language;speech data;text format;multilingual features;natural language processing;regional language;speech to text translation;communicational interaction;multilingualism;Google;computer system;speech recognition","","14","","21","IEEE","1 Jan 2021","","","IEEE","IEEE Conferences"
"Bangla Natural Language Processing: A Comprehensive Analysis of Classical, Machine Learning, and Deep Learning-Based Methods","O. Sen; M. Fuad; M. N. Islam; J. Rabbi; M. Masud; M. K. Hasan; M. A. Awal; A. Ahmed Fime; M. T. Hasan Fuad; D. Sikder; M. A. Raihan Iftee","Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science, College of Computers and Information Technology, Taif University, Taif, Saudi Arabia; Department of Electrical and Electronic Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Electronics and Communication Engineering Discipline, Khulna University, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh; Department of Computer Science and Engineering, Khulna University of Engineering and Technology, Khulna, Bangladesh","IEEE Access","18 Apr 2022","2022","10","","38999","39044","The Bangla language is the seventh most spoken language, with 265 million native and non-native speakers worldwide. However, English is the predominant language for online resources and technical knowledge, journals, and documentation. Consequently, many Bangla-speaking people, who have limited command of English, face hurdles to utilize English resources. To bridge the gap between limited support and increasing demand, researchers conducted many experiments and developed valuable tools and techniques to create and process Bangla language materials. Many efforts are also ongoing to make it easy to use the Bangla language in the online and technical domains. There are some review papers to understand the past, previous, and future Bangla Natural Language Processing (BNLP) trends. The studies are mainly concentrated on the specific domains of BNLP, such as sentiment analysis, speech recognition, optical character recognition, and text summarization. There is an apparent scarcity of resources that contain a comprehensive review of the recent BNLP tools and methods. Therefore, in this paper, we present a thorough analysis of 75 BNLP research papers and categorize them into 11 categories, namely Information Extraction, Machine Translation, Named Entity Recognition, Parsing, Parts of Speech Tagging, Question Answering System, Sentiment Analysis, Spam and Fake Detection, Text Summarization, Word Sense Disambiguation, and Speech Processing and Recognition. We study articles published between 1999 to 2021, and 50% of the papers were published after 2015. Furthermore, we discuss Classical, Machine Learning and Deep Learning approaches with different datasets while addressing the limitations and current and future trends of the BNLP.","2169-3536","","10.1109/ACCESS.2022.3165563","Taif University Researchers Supporting, Taif University, Taif, Saudi Arabia(grant numbers:TURSP-2020/10); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9751052","Bangla natural language processing;sentiment analysis;speech recognition;support vector machine;artificial neural network;long short-term memory;gated recurrent unit;convolutional neural network","Hidden Markov models;Speech recognition;Speech processing;Sentiment analysis;Machine learning;Task analysis;Machine translation","deep learning (artificial intelligence);language translation;optical character recognition;sentiment analysis;speech recognition","machine learning;nonnative speakers worldwide;online resources;Bangla-speaking people;English resources;Bangla language materials;online domains;Bangla natural language processing;sentiment analysis;speech recognition;optical character recognition;text summarization;BNLP tools;deep learning;information extraction;machine translation;named entity recognition;parsing;parts of speech tagging;question answering system;fake detection;word sense disambiguation;speech processing","","12","","229","CCBY","7 Apr 2022","","","IEEE","IEEE Journals"
"Automatic Translation from Arabic to Arabic Sign Language: A Review","K. Ayadi; Y. O. M. ElHadj; A. Ferchichi","Computer dept. ISG, CCK Prince Sattam bin Abdulaziz University AlKharj-Riyadh, KSA; Doha Arabic Historical Dictionary Doha Institute for Graduate Studies Doha, Qatar; Computer dept. ISG Université de Tunis Tunis, Tunisia","2018 JCCO Joint International Conference on ICT in Education and Training, International Conference on Computing in Arabic, and International Conference on Geocomputing (JCCO: TICET-ICCA-GECO)","30 May 2019","2018","","","1","5","This paper presents the different machine translation approaches. We distinguish two classes: the classical approaches (Direct, Transfer-Based and Interlingua) and the corpus-based approaches (Memory, Example and Statistical). We describe languages challenges such as morphology, syntax and structure. We illustrate a previous systems related to foreign (American, British and European) sign language machine translation. We list a review of the most important works related to Arabic Sign Language (ArSL) machine translation.","","978-1-5386-6880-1","10.1109/ICCA-TICET.2018.8726197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726197","machine translation;Arabic sign language;approaches;corpus","Assistive technology;Gesture recognition;Avatars;Speech recognition;Streaming media;Grammar;Semantics","language translation;natural language processing;sign language recognition","Arabic Sign Language machine translation;automatic translation;language syntax;language structure;corpus-based approach;direct approach;interlingua approach;American sign language machine translation;statistical approach;British sign language machine translation;European sign language machine translation;ArSL machine translation;example approach;memory approach;transfer-based approach","","2","","24","IEEE","30 May 2019","","","IEEE","IEEE Conferences"
"Rule Based Machine Translation from English to Malayalam","R. Rajan; R. Sivan; R. Ravindran; K. P. Soman","National Institute of Advanced Industrial Science and Technology (AIST) Tsukuba, Japan; Aalto University, Espoo, Finland; Aalto University, Espoo, Finland; NA","2009 International Conference on Advances in Computing, Control, and Telecommunication Technologies","12 Jan 2010","2009","","","439","441","Here we propose a method for translating English sentences to Malayalam. This machine translation is done by rule based method. The core process is mediated by bilingual dictionaries and rules for converting source language structures into target language structures. The rules used in this approach are prepared based on the Parts Of Speech (POS) tag and dependency information obtained from the parser. There are mainly two types of rules used here, one is transfer link rule and the other is morphological rules. In this method, the transfer link rules are used for generating target structure. Morphological rules are used for assigning morphological features. The bilingual dictionary used here is English, Malayalam bilingual dictionary. By using this approach, a given English sentence can be translated to its Malayalam equivalent.","","978-1-4244-5321-4","10.1109/ACT.2009.113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5376582","Machine Translation;Morphological Processing","Dictionaries;Natural languages;Speech;Humans;Telecommunication computing;Telecommunication control;Natural language processing;Surface-mount technology;Neural networks","dictionaries;grammars;language translation","rule-based machine translation;bilingual dictionaries;source language structures;target language structures;parts of speech tag;parser;transfer link rules;morphological rules","","18","","5","IEEE","12 Jan 2010","","","IEEE","IEEE Conferences"
"Video-Based Sign Language Translation System Using Machine Learning","B. Sonare; A. Padgal; Y. Gaikwad; A. Patil","Department of Information Technology, Pimpri Chinchwad College of Engineering, Pune, India; Department of Information Technology, Pimpri Chinchwad College of Engineering, Pune, India; Department of Information Technology, Pimpri Chinchwad College of Engineering, Pune, India; Department of Information Technology, Pimpri Chinchwad College of Engineering, Pune, India","2021 2nd International Conference for Emerging Technology (INCET)","22 Jun 2021","2021","","","1","4","The development of an interactive real-time video-based sign language translation system powered by efficient machine learning algorithms which is commonly developed for deaf-dumb people who are not able to hear or speak and is difficult for them to communicate among themselves or with normal people. Gesture and human activity recognition both are crucial for detecting the sign language as well as the behavior of an individual. These components are rapidly growing domains, enabling higher automation in households as well as in industries. Since extracting the features from continuous hand movements is complex and traditional sign language recognition gloves are costly, the combination of two deep learning algorithms, CNN and RNN can be used for automated sign language recognition. When both of these algorithms are used accuracy of the system also increases (the estimated accuracy is noted to be 92.4% on dynamic hand gestures studied on most of the available datasets). The system will then be able to translate the recognized sign language to desired text and then to speech for further communication using open-source Text-To-Speech API with python. This type of system has the potential in the future to enable a person to give the presentation or join a video conference in business or educational platform in which image or video-based representation of sign language can be projected as the person is speaking on a real-time basis. This architecture is well constructed and hence can solve many difficulties in communication purposes.","","978-1-7281-7029-9","10.1109/INCET51464.2021.9456176","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9456176","dynamic hand gesture;computer vision;RNN;CNN;LSTM;Sign Language;Text to Speech","Machine learning algorithms;Text recognition;Assistive technology;Heuristic algorithms;Gesture recognition;Speech recognition;Streaming media","convolutional neural nets;handicapped aids;human computer interaction;language translation;learning (artificial intelligence);recurrent neural nets;sign language recognition;video signal processing","machine learning;real-time video-based sign language translation system;deaf-dumb people;human activity recognition;deep learning algorithms;automated sign language recognition;video conference;open-source text-to-speech API;Python;CNN;RNN","","7","","8","IEEE","22 Jun 2021","","","IEEE","IEEE Conferences"
"T-GSA: Transformer with Gaussian-Weighted Self-Attention for Speech Enhancement","J. Kim; M. El-Khamy; J. Lee","SOC R&D, Samsung Semiconductor, Inc.; SOC R&D, Samsung Semiconductor, Inc., USA; SOC R&D, Samsung Semiconductor, Inc., USA","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","6649","6653","Transformer neural networks (TNN) demonstrated state-ofart performance on many natural language processing (NLP) tasks, replacing recurrent neural networks (RNNs), such as LSTMs or GRUs. However, TNNs did not perform well in speech enhancement, whose contextual nature is different than NLP tasks, like machine translation. Self-attention is a core building block of the Transformer, which not only enables parallelization of sequence computation, but also provides the constant path length between symbols that is essential to learning long-range dependencies. In this paper, we propose a Transformer with Gaussian-weighted self-attention (T-GSA), whose attention weights are attenuated according to the distance between target and context symbols. The experimental results show that the proposed T-GSA has significantly improved speech-enhancement performance, compared to the Transformer and RNNs.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9053591","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9053591","Self-attention;Transformer;LSTM","Performance evaluation;Recurrent neural networks;Speech enhancement;Transformer cores;Signal processing;Machine translation;Task analysis","learning (artificial intelligence);natural language processing;recurrent neural nets;speech enhancement","NLP tasks;machine translation;constant path length;attention weights;T-GSA;speech-enhancement performance;RNNs;speech enhancement;natural language processing tasks;recurrent neural networks;Transformer neural networks;Transformer with Gaussian-weighted self-attention","","63","","22","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
